Edad	Altura.dominante	thinning	varname	zone	cal
1	0.649143086801499	M8	Hdom	0	26
2	1.7752696968034	M8	Hdom	0	26
3	3.14711159445663	M8	Hdom	0	26
4	4.66343661544062	M8	Hdom	0	26
5	6.25897444659186	M8	Hdom	0	26
6	7.88798829767592	M8	Hdom	0	26
7	9.51769438316843	M8	Hdom	0	26
8	11.1246375062414	M8	Hdom	0	26
9	12.6923143289179	M8	Hdom	0	26
10	14.2094648904187	M8	Hdom	0	26
11	15.6687882579198	M8	Hdom	0	26
12	17.0659578604114	M8	Hdom	0	26
13	18.3988614719318	M8	Hdom	0	26
14	19.6670144884293	M8	Hdom	0	26
15	20.8711084468557	M8	Hdom	0	26
16	22.0126653920417	M8	Hdom	0	26
17	23.0937749659352	M8	Hdom	0	26
18	24.1168959236379	M8	Hdom	0	26
19	25.0847076104155	M8	Hdom	0	26
20	26	M8	Hdom	0	26
21	26.8655933496341	M8	Hdom	0	26
22	27.6842804853655	M8	Hdom	0	26
23	28.4587862843099	M8	Hdom	0	26
24	29.1917401458402	M8	Hdom	0	26
25	29.8856582052097	M8	Hdom	0	26
26	30.5429327942717	M8	Hdom	0	26
27	31.1658272384053	M8	Hdom	0	26
28	31.7564745319157	M8	Hdom	0	26
29	32.3168787844629	M8	Hdom	0	26
30	32.8489186010882	M8	Hdom	0	26
31	33.3543517660141	M8	Hdom	0	26
32	33.8348207596118	M8	Hdom	0	26
33	34.2918587597268	M8	Hdom	0	26
34	34.7268958714649	M8	Hdom	0	26
35	35.1412654001972	M8	Hdom	0	26
35	0	M8	Hdom	0	26
