Edad	VCC20	VCC7	thinning	varname	zone	cal
1	0	0	M2	VC	0	11
2	0	0	M2	VC	0	11
3	0	0	M2	VC	0	11
4	0	0	M2	VC	0	11
5	0	0	M2	VC	0	11
6	0	0	M2	VC	0	11
7	0	0.440906970293895	M2	VC	0	11
8	0	3.60066044312207	M2	VC	0	11
9	0	4.59888190106347	M2	VC	0	11
10	0	9.12171922967838	M2	VC	0	11
11	0	19.4531493565335	M2	VC	0	11
12	0	26.3648518828231	M2	VC	0	11
13	0	34.6065661019118	M2	VC	0	11
14	0.0500613601875119	49.7196125380139	M2	VC	0	11
14	0.0500613601875119	46.2481716188739	M2	VC	0	11
15	0.990814164663599	59.2819438985969	M2	VC	0	11
16	3.00975797677865	71.1886261964629	M2	VC	0	11
17	6.58308816592849	86.0174719683168	M2	VC	0	11
18	11.7038312491887	101.126174022565	M2	VC	0	11
19	18.6335367586724	115.71260516444	M2	VC	0	11
20	27.7320026154925	129.932077753861	M2	VC	0	11
21	38.8381417682702	146.301801029143	M2	VC	0	11
22	52.1299198353774	164.949418881462	M2	VC	0	11
22	52.1299198353774	139.313829129088	M2	VC	0	11
23	73.6678055821204	154.250505161445	M2	VC	0	11
24	88.281778190352	169.663388460738	M2	VC	0	11
25	103.367930220448	185.628860626692	M2	VC	0	11
26	119.088570624698	202.131411566943	M2	VC	0	11
27	135.731005024636	219.126103989514	M2	VC	0	11
28	151.857002552429	235.295252111966	M2	VC	0	11
29	167.91739817961	251.481119504423	M2	VC	0	11
30	184.381037452384	267.608469461837	M2	VC	0	11
30	130.309350459269	158.91088478934	M2	VC	0	11
31	139.602582053786	168.400758588615	M2	VC	0	11
32	152.030043420508	180.281548533741	M2	VC	0	11
33	163.238942927909	191.071689419201	M2	VC	0	11
34	175.048761439529	202.394882593765	M2	VC	0	11
35	187.585170449851	214.39182037828	M2	VC	0	11
36	199.150733278242	225.602447573945	M2	VC	0	11
37	210.465716353782	236.565264570918	M2	VC	0	11
38	222.825578896529	248.543153948802	M2	VC	0	11
39	235.110056833488	260.508952064502	M2	VC	0	11
40	246.758097069737	271.774068247575	M2	VC	0	11
40	0	0	M2	VC	0	11
