Edad	Altura.dominante	thinning	varname	zone	cal
1	0.872867724578272	M2	Hdom	1	26
2	2.35111452318423	M2	Hdom	1	26
3	4.0927611808261	M2	Hdom	1	26
4	5.94616295085359	M2	Hdom	1	26
5	7.81972692073173	M2	Hdom	1	26
6	9.65625690187295	M2	Hdom	1	26
7	11.4209279508364	M2	Hdom	1	26
8	13.0939304349088	M2	Hdom	1	26
9	14.6655219959381	M2	Hdom	1	26
10	16.1326041199783	M2	Hdom	1	26
11	17.4963471660024	M2	Hdom	1	26
12	18.7605547603713	M2	Hdom	1	26
13	19.9305507864348	M2	Hdom	1	26
14	21.0124335683512	M2	Hdom	1	26
14	21.0124335683512	M2	Hdom	1	26
15	22.0125858359172	M2	Hdom	1	26
16	22.9373611587139	M2	Hdom	1	26
17	23.7928908775822	M2	Hdom	1	26
18	24.5849723639599	M2	Hdom	1	26
19	25.3190114093788	M2	Hdom	1	26
20	26	M2	Hdom	1	26
21	26.6325166538001	M2	Hdom	1	26
22	27.2207406218785	M2	Hdom	1	26
22	27.2207406218785	M2	Hdom	1	26
23	27.7684741109933	M2	Hdom	1	26
24	28.2791686518066	M2	Hdom	1	26
25	28.7559530857238	M2	Hdom	1	26
26	29.2016615620309	M2	Hdom	1	26
27	29.6188605587582	M2	Hdom	1	26
28	30.0098743576128	M2	Hdom	1	26
29	30.3768086795297	M2	Hdom	1	26
30	30.7215723673246	M2	Hdom	1	26
30	30.7215723673246	M2	Hdom	1	26
31	31.0458971163052	M2	Hdom	1	26
32	31.3513553237294	M2	Hdom	1	26
33	31.6393761682926	M2	Hdom	1	26
34	31.9112600514277	M2	Hdom	1	26
35	32.1681915399657	M2	Hdom	1	26
36	32.4112509493367	M2	Hdom	1	26
37	32.6414247011373	M2	Hdom	1	26
38	32.8596145806939	M2	Hdom	1	26
39	33.066646010615	M2	Hdom	1	26
40	33.2632754461651	M2	Hdom	1	26
40	0	M2	Hdom	1	26
