Edad	Area_basimetrica_m2_ha	thinning	varname	zone	cal
1	0.0158545166982305	M2	AB	1	26
2	1.27656096517724	M2	AB	1	26
3	6.04431640147442	M2	AB	1	26
4	13.549486061209	M2	AB	1	26
5	22.2906443650365	M2	AB	1	26
6	31.2909752294337	M2	AB	1	26
7	40.0442040098654	M2	AB	1	26
8	48.3195846550679	M2	AB	1	26
9	56.0316295223123	M2	AB	1	26
10	63.1679675889505	M2	AB	1	26
11	69.7513084570971	M2	AB	1	26
12	75.8197018043036	M2	AB	1	26
13	81.4164097440789	M2	AB	1	26
14	86.5848247782076	M2	AB	1	26
14	77.7324270277722	M2	AB	1	26
15	82.4269304169776	M2	AB	1	26
16	86.7983838301517	M2	AB	1	26
17	90.875378679943	M2	AB	1	26
18	94.6841566791872	M2	AB	1	26
19	98.2485549025295	M2	AB	1	26
20	101.590094775322	M2	AB	1	26
21	104.728141166565	M2	AB	1	26
22	107.680089899752	M2	AB	1	26
22	88.8992181149572	M2	AB	1	26
23	91.6599825508032	M2	AB	1	26
24	94.2782007896428	M2	AB	1	26
25	96.7641134519521	M2	AB	1	26
26	99.1271063654065	M2	AB	1	26
27	101.37577638701	M2	AB	1	26
28	103.51799686253	M2	AB	1	26
29	105.560980535039	M2	AB	1	26
30	107.51133870429	M2	AB	1	26
30	62.539684955012	M2	AB	1	26
31	64.2534275171581	M2	AB	1	26
32	65.9084327017963	M2	AB	1	26
33	67.5073198490913	M2	AB	1	26
34	69.0526034085273	M2	AB	1	26
35	70.5466896033066	M2	AB	1	26
36	71.9918755139444	M2	AB	1	26
37	73.3903499233357	M2	AB	1	26
38	74.7441954243125	M2	AB	1	26
39	76.0553914115669	M2	AB	1	26
40	77.3258176719626	M2	AB	1	26
40	0	M2	AB	1	26
