Edad	Altura.dominante	thinning	varname	zone	cal
1	0.474737837331828	M8	Hdom	0	21
2	1.30378366832342	M8	Hdom	0	21
3	2.32322024351759	M8	Hdom	0	21
4	3.46234587838465	M8	Hdom	0	21
5	4.675187318585	M8	Hdom	0	21
6	5.92877983831794	M8	Hdom	0	21
7	7.19866792577808	M8	Hdom	0	21
8	8.46654776443731	M8	Hdom	0	21
9	9.718779325587	M8	Hdom	0	21
10	10.945336160733	M8	Hdom	0	21
11	12.1390155202144	M8	Hdom	0	21
12	13.2948238305454	M8	Hdom	0	21
13	14.4094905958488	M8	Hdom	0	21
14	15.4810812073191	M8	Hdom	0	21
15	16.5086880469141	M8	Hdom	0	21
16	17.492184398843	M8	Hdom	0	21
17	18.4320290094001	M8	Hdom	0	21
18	19.3291115217166	M8	Hdom	0	21
19	20.1846308466101	M8	Hdom	0	21
20	21	M8	Hdom	0	21
21	21.7767721378964	M8	Hdom	0	21
22	22.5165835083257	M8	Hdom	0	21
23	23.2211098538465	M8	Hdom	0	21
24	23.8920334674814	M8	Hdom	0	21
25	24.5310186526309	M8	Hdom	0	21
26	25.1396937839605	M8	Hdom	0	21
27	25.7196385285497	M8	Hdom	0	21
28	26.2723750794833	M8	Hdom	0	21
29	26.7993624900156	M8	Hdom	0	21
30	27.3019933859329	M8	Hdom	0	21
31	27.7815924855028	M8	Hdom	0	21
32	28.2394164776545	M8	Hdom	0	21
33	28.676654905697	M8	Hdom	0	21
34	29.0944317807834	M8	Hdom	0	21
35	29.4938077103932	M8	Hdom	0	21
35	0	M8	Hdom	0	21
