Edad	Altura.dominante	thinning	varname	zone	cal
1	0.20865528865751	M8	Hdom	1	11
2	0.576783951504083	M8	Hdom	1	11
3	1.03611030725251	M8	Hdom	1	11
4	1.55825926543284	M8	Hdom	1	11
5	2.12479841202082	M8	Hdom	1	11
6	2.72220238746811	M8	Hdom	1	11
7	3.34001143185291	M8	Hdom	1	11
8	3.96993671918778	M8	Hdom	1	11
9	4.6053405152391	M8	Hdom	1	11
10	5.24089363754607	M8	Hdom	1	11
11	5.8723287561778	M8	Hdom	1	11
12	6.49625157220189	M8	Hdom	1	11
13	7.10999039954564	M8	Hdom	1	11
14	7.71147327564471	M8	Hdom	1	11
15	8.29912601580825	M8	Hdom	1	11
16	8.87178689818699	M8	Hdom	1	11
17	9.42863494139294	M8	Hdom	1	11
18	9.96912949782812	M8	Hdom	1	11
19	10.492959371336	M8	Hdom	1	11
20	11	M8	Hdom	1	11
21	11.490277487887	M8	Hdom	1	11
22	11.9639384576649	M8	Hdom	1	11
23	12.4212248481812	M8	Hdom	1	11
24	12.8624529078877	M8	Hdom	1	11
25	13.2879957426723	M8	Hdom	1	11
26	13.6982688690499	M8	Hdom	1	11
27	14.0937183033388	M8	Hdom	1	11
28	14.4748107862646	M8	Hdom	1	11
29	14.8420258018297	M8	Hdom	1	11
30	15.1958491004653	M8	Hdom	1	11
31	15.5367674804892	M8	Hdom	1	11
32	15.865264619618	M8	Hdom	1	11
33	16.1818177805651	M8	Hdom	1	11
34	16.4868952422881	M8	Hdom	1	11
35	16.7809543319003	M8	Hdom	1	11
35	0	M8	Hdom	1	11
