Edad	Altura.dominante	thinning	varname	zone	cal
1	0.125123053265833	M8	Hdom	0	7
2	0.346558339791549	M8	Hdom	0	7
3	0.624077710085877	M8	Hdom	0	7
4	0.941220480837575	M8	Hdom	0	7
5	1.28734772419543	M8	Hdom	0	7
6	1.65463307598348	M8	Hdom	0	7
7	2.03697223565477	M8	Hdom	0	7
8	2.42946249814076	M8	Hdom	0	7
9	2.82810785870513	M8	Hdom	0	7
10	3.22963008047675	M8	Hdom	0	7
11	3.63133608591898	M8	Hdom	0	7
12	4.03101843920843	M8	Hdom	0	7
13	4.42687702086396	M8	Hdom	0	7
14	4.81745533045724	M8	Hdom	0	7
15	5.20158754445188	M8	Hdom	0	7
16	5.57835389151562	M8	Hdom	0	7
17	5.94704271086087	M8	Hdom	0	7
18	6.30711802968711	M8	Hdom	0	7
19	6.65819178476796	M8	Hdom	0	7
20	7	M8	Hdom	0	7
21	7.33238235925722	M8	Hdom	0	7
22	7.65526470597308	M8	Hdom	0	7
23	7.96864407094122	M8	Hdom	0	7
24	8.27257588560667	M8	Hdom	0	7
25	8.56716308412217	M8	Hdom	0	7
26	8.85254683635979	M8	Hdom	0	7
27	9.12889868755229	M8	Hdom	0	7
28	9.39641390934946	M8	Hdom	0	7
29	9.65530589252869	M8	Hdom	0	7
30	9.90580143391129	M8	Hdom	0	7
31	10.1481367896055	M8	Hdom	0	7
32	10.3825543838466	M8	Hdom	0	7
33	10.6093000777109	M8	Hdom	0	7
34	10.8286209150901	M8	Hdom	0	7
35	11.0407632747365	M8	Hdom	0	7
35	0	M8	Hdom	0	7
