Edad	Altura.dominante	thinning	varname	zone	cal
1	0.118979553888518	M8	Hdom	1	7
2	0.330064429430982	M8	Hdom	1	7
3	0.595557967110337	M8	Hdom	1	7
4	0.900253990666248	M8	Hdom	1	7
5	1.23438539018626	M8	Hdom	1	7
6	1.59076807236766	M8	Hdom	1	7
7	1.96377137566171	M8	Hdom	1	7
8	2.34883227964223	M8	Hdom	1	7
9	2.74218506559298	M8	Hdom	1	7
10	3.1406919778029	M8	Hdom	1	7
11	3.54172714638062	M8	Hdom	1	7
12	3.94309131120601	M8	Hdom	1	7
13	4.34294580654489	M8	Hdom	1	7
14	4.73975944949014	M8	Hdom	1	7
15	5.13226461685158	M8	Hdom	1	7
16	5.51942021785783	M8	Hdom	1	7
17	5.90038007191368	M8	Hdom	1	7
18	6.27446567079521	M8	Hdom	1	7
19	6.64114259067844	M8	Hdom	1	7
20	6.99999999999999	M8	Hdom	1	7
21	7.35073282779207	M8	Hdom	1	7
22	7.69312623847412	M8	Hdom	1	7
23	8.02704211742271	M8	Hdom	1	7
24	8.35240731541864	M8	Hdom	1	7
25	8.66920343434498	M8	Hdom	1	7
26	8.97745796434942	M8	Hdom	1	7
27	9.27723660597893	M8	Hdom	1	7
28	9.56863663072721	M8	Hdom	1	7
29	9.85178115075931	M8	Hdom	1	7
30	10.1268141837955	M8	Hdom	1	7
31	10.3938964125854	M8	Hdom	1	7
32	10.6532015503338	M8	Hdom	1	7
33	10.9049132340371	M8	Hdom	1	7
34	11.1492223771014	M8	Hdom	1	7
35	11.3863249209757	M8	Hdom	1	7
35	0	M8	Hdom	1	7
